text,aggressiveness
"mexico mourns 66 dead after twin punch of quake , hurricane https://t.co/5eki4rqc1j",0
# puertorico is a us territory . why has nt fema been deployed to the island ? why has nt 45 gone to puerto rico ? # puertoricorelief,0
its hurricane harvey 's fault https://t.co/anovjbhxvd,0
via @destroythecomic : death note 2017 - death not warning : spoilers to follow warner brothers adaptation of ja ... https://t.co/iuw1wvdutg,0
@mydaughtersarmy i do n't want anyone else to die in this storm but if if there must be more victims can i volunteer https://t.co/hx6ywfhhnx,1
me when we were trying to keep 2nd floor from flooding during harvey https://t.co/l1photu5ki,0
"the new normal | builder magazine | extreme weather construction , tampa - st . petersburg - clearwater , fl https://t.co/lqurqnt6d8",1
@richardbranson why ca nt everyone in the path of irma just hunker down in the wine cellars under their house and st https://t.co/kxtcuvjtql,0
"gay people to # blame for # hurricane harvey , say # christian # leaders # africlive https://t.co/v6g6yq1nid https://t.co/apvmjdiebx",1
our most best thoughts and prayers are with you from seattle https://t.co/ycgwahuzdv,1
"reptile owners , how would your reptiles stay warm in case of a power outage ? share your tips . # blogpawschat https://t.co/yzyyjplykl",0
nightly wtf from the @potus . finally gets around to addressing puerto rico & blames them for the maria devastation . https://t.co/soqmhtfmtu,0
"sts is now # hiring a&p inspectors in # houston , # texas -- https://t.co/jtqjarlwnq # stshotjob",1
rebuilding the infrastructure in houston tx .,0
veterinary groups help with texas storm recovery https://t.co/sqlzywpdam,1
northern eyewall of # irma is now hitting the florida keys ! eye still about 15 miles se https://t.co/mcypls5o3j,0
miami beach mayor : irma is a ' nuclear hurricane ' - youtube https://t.co/uytrerze1i via @skinnergj,0
"storm aileen lashes uk and northern europe , knocks out power to thousands , causes travel woes - the weather channel https://t.co/arazuhpgmc",1
u.s. flood insurance program sees $ 11 billion payments for texasflooding https://t.co/uqzurp12el,1
"tankless water heater repair arlington , tx https://t.co/qmul9d7mup https://t.co/7khuzfwsdl https://t.co/odgmcz1qdz",0
! ! ! attention ! ! ! these 3 need to be reimbursed now . be good for daddy . hurricane recovery expenses . # findom https://t.co/lq92mrofnn,1
"hurricane maria:""widespread devastation in dominica ! "" https://t.co/k8t9yjsime via @youtube messenger of the apoc . reporting / cnn , etc .",1
@jen_cox yep ! i was watching in south ga rushing home ahead of irma . those dawg fans are loud ! ! !,1
@cococagg70 @brianschatz @mommyof3lal .@lisamurkowski @senatorcollins please vote no on this latest version of tru https://t.co/cqihi3eafi,1
"no storm on record , anywhere on the globe , has maintained winds 185 mph or above for as long as # irma https://t.co/tjuzx9kgcd",0
# dominica p minister @skerritr says he 's been rescued after # hurricane # maria tore roof off his flooded home https://t.co/oavtarqx52,1
"hurricane harvey inspires "" texas made "" custom cleats | nice kicks https://t.co/idlhbyrw5i",0
see what downtown 's spaghetti warehouse looks like after hurricane harvey . https://t.co/sb2pkeivif,1
i m sure shell blame the gay community like she blamed our gay ex mayor for harvey https://t.co/10nj6jds9p,0
@foxnews about that oppression of 3.5mi americans in puerto rico that are in distress,0
on & off rain will continue overnight tonight . mother nature 's white noise machine ! # ksatwx # ksat https://t.co/yk5wp8jstm,1
please join us in supporting # harveyrelief - thank you @sylvesterturner for your leadership # houstonstrong # psa https://t.co/guxn5xsbzs,1
"sundar opens with a note about vegas , hurricane victims : we are working closely with many relief agencies in affec https://t.co/hwnyizblo3",1
# hurricane # maria # poses # threat to us # east # coast # video - https://t.co/kchhnazdmn - # topstories https://t.co/dq1dzeh2mf,0
cwc funds stormwater and flood mitigation projects - hudson valley 360 https://t.co/x8xckxe2yb # sustainability # agenda21,0
gina thelander schafer needs your help today ! roxann 's flood help - my sister needs your help ! harvey is currently p https://t.co/hdxjyek9zm,1
woman on cnn had to be a stood in front of a wind machine as all around her calm . milking the storm # irma # cnn,0
one of the top charities in the world just got accused of scamming hurricane harvey victims out of food ... this ... https://t.co/5q0ovk1tq4,0
sorry it 's true . @realdonaldtrump is a bigger # blowhard than # harvey . such an ego he has to steal the limelight from a cat 4 hurricane . # pos,1
bloody hell . antivaxers are telling parents how to avoid vaccinating in the aftermath of # hurricaneharvey . https://t.co/ijior0ammg,1
2017 - 09 - 19 22:46:00 | tx | young | severe t - storm warning | -- | svr issued for w c young county in n c texas ... https://t.co/nq7dzlrlpe,1
"# jnj # donateaphoto # hurricaneharvey dangerous and idiotic right - wing conspiracies , down play severity of hurricane https://t.co/bighypq5uy",0
# news # summary : # harvey expected to # hit # texas with record # flooding -- live # updates https://t.co/lxpr4bx05m,0
the weather channel live stream hd live coverage of hurricane irma https://t.co/y9efggqbcg via @youtube,0
i swear that was the shark in nyc during hurricane sandy . the same shark was in houston two weeks ago too . crazy . https://t.co/cum0ciltob,1
president obama did n't help the victims of hurricane katrina because he was too busy gallivanting around # nambia .,0
mit is crowdsourcing hurricane flood maps in florida https://t.co/f7uvjypegg https://t.co/2foqwttxjo,0
"11 pm # irma track update , no change storm weakening as expected . https://t.co/8sll2jtrak",1
hurricane irma moving to florida live updates : https://t.co/4vqhpaxsbs via @youtube,1
# astronomy away from the city and # lightpollution . night of # thunderstorms in the plain . observation of a stellar s https://t.co/oqzc0iqjnl,1
trump is attacking hurricane victims . i think it 's about time for us to wrap this presidency up .,1
@washingtonpost @washingtonpost @realdonaldtrump just more proof that he 's unfit to be president . while people are https://t.co/kjxarvog0k,0
"florida customers , here is how to report an outage . learn more about how we are preparing to respond to # irma : https://t.co/4xhmfgexbq",1
weekend fires damage two houston restaurants and bars : present company ( formerly royal oak https://t.co/npjdgkstsn [ https://t.co/6y6tmxnsaq ],1
we 're so proud to see some of our customers participate in # togetherwithtexas & donating proceeds to harvey relief : https://t.co/j0rrs1wi7v,1
@godaddyhelp this is affecting business for your account holders ! please provide an update ! and why did n't you noti https://t.co/jzd9787c4w,0
proud knowing @chuy_jesse & @tmpalegislative donated 100 % proceeds to first responders # hurricaneharvey # texas . https://t.co/gybesio1t5,1
2 flights leave puerto rico for new york for the first time since hurricane # maria https://t.co/ygrasg5hmf,1
".@cityofmiami @miamidadepd when it 's safe , pls send someone to check on lolita - left behind w / no shelter from # irma https://t.co/ftuf5jkctj",1
"this is our president , folks . https://t.co/xpakykmf3v",0
woke up early and was super excited to bake cookies for the bake sale for hurricane harvey relief .... until they all burned,0
more than 50 animals found tethered to trees in palm beach county as irma approaches https://t.co/czdz3iwfbd,0
alert : per @txdothoustonpio i-10 to close from i-45 to i-69 this weekend for work on elysian viaduct . more info at https://t.co/n85izdvcs5 .,1
"but in the midst of impending disaster , where our homes & lives are in danger from # hurricaneirma , where we have friends who ca n't leave 13/",0
@realjameswoods cut federal funding to the whole damn state of california & send it to the patriots in texas & flor https://t.co/euuw5csrzh,0
"florida battered as hurricane irma packs double punch , makes 2 landfalls https://t.co/0rbx5iaumc",1
# hurricaneharvey this is very fearful ! ! ! every word has been fulfilled . let 's fear the mightiest prophet in the lan https://t.co/coagphjgkt,1
"@ds13_manon @ebolamericana cloud seeding in texas wo n't affect a hurricane , you windowlicker",1
i ' m fascinated by all the live - streaming of irma and apparently i ' m not alone - is your news coming from social ? https://t.co/mkjljollos,1
"these people are americans and this is on your watch , @realdonaldtrump # twitteringwhileromerots https://t.co/vbebivyivo",0
# irma appears to be weakening after cuba interaction . https://t.co/oe0jbenhax,0
trump throws paper towels to hurricane victims in puerto rico - nbc news . beyond tacky and disrespectful https://t.co/aykishqayp,0
hanging out with the kids waiting for the hurricane . https://t.co/ivmpr1a1cz,0
the @houstontexans vs. @bengals game will donate a portion of the proceeds to harvey relief efforts .,1
"@robin_mcgraw @drphil @thedrphilshow 25k for hurricane harvey , shame on you ! !",0
@mirirod i empathize ! i am from the houston area so it was insanely hard to watch # hurricaneharvey happen ! prayers https://t.co/c8imep6mzo,1
how about we stop talking about football and instead talk about the thousands of people who are now homeless / dying in puerto rico,0
@realdonaldtrump @cnn how is the hurricane relief going ? ? have you handled north korea ? ? passed any legislation yet https://t.co/9b8x0z5wsp,0
trump 's lack of empathy about puerto rico is staggering https://t.co/foqdewtvvr drumpf only cares about his image . # unfit for office # resist,0
"i 'll update with pics of the donation later , but i just finished tallies and we raised $ 460 for houston food bank , yall ! # newrecord",1
arthritis storm . spasms and fever . sucks being an old athlete with arthritis running in the family,1
.@land_line_now 's interview with a three - person panel regarding disaster relief loads is now available at the link https://t.co/6tvdgcjhsw,1
"# theresistance should be invading dc by the millions right now , sacking the wh , ridding ourselves of illegit potus https://t.co/lz5emw4mrd",0
a closer look at hurricane # harvey and # climatechange and the degree of connectedness . https://t.co/ja8qjszgbp,1
the us president is lying to you . the governor of puerto rico is crying on tv begging for help .,0
the i 'm me tour : college edition is on the move ! due to hurricane harvey our tsu tour date was https://t.co/hblsqvfzf5,1
"southern roots filling station jacksonville , fl https://t.co/49iedvln39 on @bloglovin",0
"# latania weather station live 21/9/2017 8am 1.0c ( 24h - lo / hi 0.7/17.9c ) baro 1015 mb , wind s 2 mph ( exp windchill 0c https://t.co/fevywjoadu",1
@abigail_in_1692 @kris_sacrebleu evil ? like when he donated 1 mil of his $ 2 hurricane victims ? like when he donate https://t.co/ekcaiplwk8,1
we are still raising funds to help support those impacted by hurricane harvey - please consider donating if you ... https://t.co/idxsqp2xny,0
gallery - arizona wildcats v univ . of houston - https://t.co/vogfqmltw7 via @sports360az,1
"@senschumer we the people , can multitask . please fight the tyrant trump on healthcare , and make him help our fello https://t.co/oq767ssiey",0
the department of public safety officers association is seeking help for officers affected by hurricane harvey : https://t.co/jty5xx6tci,1
my neighbor is giving hurricane tips on facebook meanwhile he already evacuated and left his yard full of projectiles,0
"cnn reports # maria , which has weakened to a category 2 storm , is expected to cause major flooding in the dominican https://t.co/i8u64xawpd",1
"hurricane irma takes aim at trump 's mar - a - lago , social media goes wild via the @foxnews app https://t.co/nnmwvli1cr",1
philly dj survives # hurricaneirma . military aircraft takes him from st. marteen to puerto rico to @phlairport @6abc https://t.co/uekzapzmqr,1
latest music news : joey bada$$ & pro era hosting brooklyn supplies drive for hurricane victims https://t.co/yua0zljhuf,1
""" hurricane harvey , which broke the continental u.s. rainfall record with its deluge of southeast texas , and ... https://t.co/6nnbch6kph",0
"hey , .@realdonaldtrump remember when presidents were leaders ? https://t.co/xdix226hxb we do . how much are you donating to relief ?",0
@anthoknees i ' m going to link this to the fb page for bvi - they feel forgotten as cnn is 99 % florida . they ' ve no p https://t.co/xtwrcgtvck,0
amazing 53 hit combo ( naruto ultimate ninja storm 4)(shinj ) : https://t.co/t2msoda3s2 via @youtube,1
beyonce & jay - z to host hurricane benefit show in brooklyn.https://t.co/5ftlnylu9o https://t.co/tttkaevblt,0
"takeaway : # stormsurge , # tropicalstorm warning over n of sargent texas - that 's # texascity , # houston ship channel , it ' https://t.co/mkdodloufl",1
# breaking : hurricane maria knocks out all power in puerto rico ; mayor anticipates outages to last 4 - 6 months https://t.co/cwpb7sllgy,1
rt thelift : here is the latest forecast for # hurricane # maria from thelift https://t.co/qhu8pcda2i https://t.co/jr37bdn0io,0
@anna_d_plorable where is you news from ? # irma hit puerto rico and your source for the 7hr prayer fest ? see : https://t.co/icggdxkefi,0
"# jonesact , a law designed to protect american ship - building is limiting aid delivery to puerto rico https://t.co/1ypzm9a3g5 via @qz",0
lawnmowers bring harvey flood victims together https://t.co/topnzw6pgu via @abc13houston,1
@senblumenthal @chrismurphyct @senatedems # hurricane trump finally talks - porto rico ignores us v islands wants investor losses pd 1st no way,0
* guest post * stress relief tips for busy mums https://t.co/dcgw1ow9mf # mums # sahm # pbloggers https://t.co/p3uaoirnuh,1
if naples is destroyed by irma we 're gunna see another wave of death in october as snowbirds who lost their winter home freeze to death,1
puerto ricans are americans ... without representation in congress ... in need of humanitarian assistance now : https://t.co/xfbydy3nfk,1
sell # hurricaneirma # irma footage directly to global press agencies through your social media # staysafe # goodluck https://t.co/e4t9k05rnr,1
if you 're donating supplies remember to erase the barcode so they ca n't be resold to the people in puerto rico for https://t.co/cypuukvsym,0
"for every celebrity who uses a natural disaster to make a political tweet , a floridian 's home is saved . # science # hurricaneirma",0
"see our latest # tamarac , fl # job and click to apply : route delivery driver - https://t.co/qfid0ptyqy # supplychain # hiring",1
sign the petition https://t.co/81cekp5veg via @cdnchange,1
more than 300 people have been killed by the quake so far . countless more are missing . https://t.co/jhk3ohouoc,1
the devastation in these photos is heart - breaking . @realdonaldtrump what is your administration doing to help https://t.co/lfsnnhy6wf,1
aerial view of a hurricane https://t.co/1dzby1zco4 # hurricanemaria # huracanmaria,1
"it 's easy to mock , but reports that aid & basic infrastructure ( electricity , water ) still failing 6days after # irma https://t.co/q46oipnlbz",1
rt @4billlewis : rt @its_kdg : the stupidity of ppl who wanted to ride out # hurricaneirma on their sail boats & then https://t.co/x6xywy63s9,0
"@realdonaldtrump people in puerto rico are dying , and not my potus is talking about football . sad !",0
"trump needs to send the uss comfort to help , for starters . american citizens are going to start dying in # puertorico https://t.co/xmckpqlyj2",1
@rwpusa peanuts . just imagine what trump will claim after irma visited mar - a - lago and what it will do to insurance https://t.co/sq7jf9eizx,0
great job glen ! customer wrote a praise letter about your assistance with her hurricane prep ! ! @marcialrod165 https://t.co/owieww2wld,1
rt @bringfido has compiled a list of pet - friendly shelters in florida for hurricane irma evacuees -- > https://t.co/qagc4amfof,1
hurricane irma blasts florida : monster ' storm charges up coast after hitting miami and tampa latest news https://t.co/n6derdxjmt,0
rt scroll_in : # mumbairains | why does mumbai continue to flood year after year ? https://t.co/xksvcg7otk,0
action alert : support the @cfpb rule and hold # equifax and # wellsfargo accountable . # ripoffclause https://t.co/8jhehwjajo,0
listen do n't criticise the weather channel for overhyping ' the storm when they could ' ve underestimated and hundreds might have died # irma,0
conservative @club4growth urging members against voting for harvey relief bill unless offset https://t.co/kaolzjxubq,1
"spoiler : hugh freeze , houston nutt , ed orgeron , david cutcliffe & tommy tuberville are not on this list . # olemiss https://t.co/4jssaeywlo",0
"it 's too bad you 're not president with power to send in the army , navy and marines to help these ... oh ! right . https://t.co/ylmxkpgjzr",1
the zombie bill is dead . senator collins is a no . let 's move on now . the nfl can wait . puerto rico needs help ! # helppuertorico rt,0
# hurricaneirma is now a category five hurricane and i may lose my mind if one more person denies that climate change is a thing .,0
thank you ! we were beginning to wonder if our fellow americans were getting help . https://t.co/rtm6xupzw2,1
"in the land of energy - coal , solar , wind , gas - leadership is missing . make the hard decisions . https://t.co/4evp4vhm5a",0
"irma lashes the bahamas , cuba on a path toward florida https://t.co/olcnnmxtc7 # breaking # world # news # video # china # today # watch # cgtn",1
cc : @realdonaldtrump @potus @whitehouse when people who retired from the job you are currently in outshine you in https://t.co/nqn97ykuhd,1
"gay people to blame for hurricane harvey , says # us pastor # unitedstates https://t.co/z7wj5oppuh https://t.co/lclna8zmy3",1
how hurricane irma became so huge and destructive https://t.co/m89lyle3pc,1
where was fema ? rescue crew from houston speaks https://t.co/edwpqxgxf2 https://t.co/x8dyuue17i,0
let 's pray for texas # hurricaneharvey,1
"@realdonaldtrump people in puerto rico are dying , and not my potus is talking about football . sad !",1
"what if , hurricane harvey , was osama benladin reincarnated into a storm , and hit houston so hard bc that 's the are bush grew up in",1
governor on tv everywhere telling everyone to be prepared to evacuate is bs tv shit that republicans eat up with no context in reality .,0
@mrodofficial together we will rebuild puerto rico ! share and support today ! # boricuastrong # puertoricostrong # maria https://t.co/qqkpkwb1r4,0
# inews9 k translation : trump rebrands coal as wireless energypledges emergency shipments & coal burning stoves for https://t.co/undieu9rvx,1
3.5 million americans face disease & death in puerto rico . what the hell is trump doing ? - daily kos https://t.co/lxhyz2qxpw via @nuzzel,1
stay safe puerto rico thanks for the updates @adracostaphoto https://t.co/dbfa9sixjm,1
@realdonaldtrump how about regulations to help the people of puerto rico instead of rules that violate constitution ? # deplorable,1
"fuck everyone posting on their snapchat stories pics of a fallen tree or flooding with the caption "" damn "" . we get it irma fucked us up",1
irma may force florida insurers to turn to deeper pockets a state that the big insurers fled after andrew is now c https://t.co/t4pa1vtep1,0
must watch ! hit the link below to watch a night of hope concert for houston ! https://t.co/nttvngaujt,1
( aah!humanes ) the 17 senate republicans who betrayed harvey victims : voted against hurricane relief @politicususa https://t.co/el493jrgoa,0
hurricane irma shuts down disney world https://t.co/gdl8cydg98,0
"family are hoping to raise 2,000 so the couple can come home # hurricaneirma https://t.co/lkay7odln6",1
"in houston after the storm , a city split in two https://t.co/mj8yb28wt2 # news # newstica",1
"2007 # chevrolet # silverado 1500 classic ls2 only $ 8,691 in houston , tx # chevroletsilverado 1500 classic # houston https://t.co/g1kgm5c7o7",1
"@realdonaldtrump wtf does wall st and the banks have to do with disaster relief , you flaming moron ? ! and nothing is doing well in pr .",0
grasp this ! this is unacceptable ! americans are hurting and need supplies ! ! ! https://t.co/vcl6g7mp4d,0
"found dog alert ! a220626 - brown neutered eng bulldog near 1500 berwick dr , cambria , ca , 93428 ( unincorporated ) ... https://t.co/2fud1yha90",0
@jen_cox yep ! i was watching in south ga rushing home ahead of irma . those dawg fans are loud ! ! !,0
thoughts and prayers for the people of puerto rico . they took a direct hit from hurricane maria . did you know they are us citizens too ?,0
oh no ... also please turn north way before fl or keep going west https://t.co/xqiesmtnoj,1
"14:52 long valley road , wistow - vehicle fire going ( 2 appliances , cfs region 1 ) https://t.co/serflcg7mp",1
"at least 22 killed in cuba after hurricane irma rips roofs , collapses buildings and flood coastline https://t.co/e4v4mrpe6c",1
when ? when will they get aid ? you do realize it 's been 6 days already since the hurricane hit right ? sad ! https://t.co/iutlqpkark,0
only a few more orders to reach 1300 ! buy a hurricane harvey relief backpack from @jadelynnbrooke to help a child i https://t.co/ztnj5qdemw,1
"# houston city councilman , in official session , begs ppl not to # donate to # redcross http://82.221.129.208/baaaasepaageg6.html # censoredlink",1
"seriously , how do these florida shelter officials say on the air that they absolutely wo n't take people 's pets ... https://t.co/1ryyunxyl6",0
"hurricane irma takes aim at trump 's mar - a - lago , social media goes wild via the @foxnews app https://t.co/nnmwvli1cr",0
retweeted eric fisher ( @ericfisher ) : track for # maria generally unchanged at 5 pm . outer banks definitely should ... https://t.co/j3ilpewnfz,0
st. martin 's residents are struggling with desperate conditions in the wake of hurricane irma - https://t.co/xarjhqsj3d,1
some workers risk being fired if they evacuate for hurricane irma https://t.co/6brr721jwe,0
"# trump tweets that # puertorico has "" massive debt "" - like every time you declared bankruptcy donald ? https://t.co/swac0ihfik # tuesdaythoughts",0
"# primeminister # roosevelt of # dominica states that the winds from # hurricanemaria are # merciless and # rough , # rough , rough . devastation .",1
@realdonaldtrump in case no one told you this is puerto rico . its part of usa and there are 3 m citizens there that https://t.co/ozi739cfue,0
trump still has n't given a dime to hurricane harvey relief . https://t.co/4wej65n7of # theresistance # resist # impeachtrumpnow,0
"hurricane irma hits cuba , moves towards florida https://t.co/zcvvmpzxpr https://t.co/ecfexayvgm",0
this is crazy ! praying for southern texas https://t.co/sqf1spsvak,0
the response to hurricane harvey was dismal at best . i do n't understand how we 've been dealing with disasters ... https://t.co/kvtjmuzamf,0
on another note ... puerto rico stands to be flattened . this is a thing peeps . a climate change thing .,1
hurricane harvey cattle evacuation ! ! https://t.co/slho6fefj6,0
oil weakens on fears irma could dent u.s. demand https://t.co/sltkdfskje https://t.co/fii6gjdsve,1
why is nt this video sent to local police # hurricaneirma https://t.co/cguja8bz6p,0
shout out to hotels raising their rates in front of my eyes in the wake of hurricane irma ... unbelievable,0
"houston , sept. 11 ( xinhua ) -- sylveste turner , mayor of houston , the u.s. texas state , will seek https://t.co/e14w3cytaw @unitednewsofusa",1
"@barackobama not my opponent , joe barton he voted not to send help to texas hurricane victims and against funding government . # vote4ruby.org",0
this forecast shows # maria joining with a huge low from the north in a few days . winds seem calm - ish though @newthor https://t.co/dyap8uhk88,1
the latest the isf world support daily ! https://t.co/agnpdybcjh # hurricaneirma # arkofhope,1
# tornado maybe in two oregon locations breaking news alert,1
here in # roswell let 's make sure we 're all prepared for the potential impact of hurricane # irma https://t.co/mbfh3qwbvb,1
"@tosdanladi @kirkfranklin well , it 's a shame d nigerian media is giving adequate coverage to the houston disaster b https://t.co/c0jf4ladf8",0
ffc issues upgrade to tropical storm watch for wilkes [ ga ] until further notice https://t.co/o80gtaz8jy,0
more people are affected by floods in south asia than in houston https://t.co/yrhlmlfdsk,1
that 's a big hurricane ! # irma https://t.co/g0oqedwrve,0
travelers stranded at puerto rico airport after hurricanemaria https://t.co/jj2yx2lycz https://t.co/skq48wuxor,1
"hurricane ' maria ' heading for poerto - rico . ( 20 - 9 - 17 , 3:45 pm ) https://t.co/5k6otiwfac",1
this is how busch gardens evacuated their flamingos for irma [ video ] https://t.co/w7ewbhwpds,1
hands on in houston : local pitmaster joins relief effort https://t.co/dn0gxusnwz,1
google will repair hurricane harvey victims ' pixel phones for free in houston https://t.co/gynozs470i via @mashbusiness,1
"via @rvp - hot , isolated , and running out of supplies , parts of puerto rico nea https://t.co/eak9bvksnq , see more https://t.co/n3ke0cbhfi",1
mexico hit by deadly hurricane as it still reels from friday 's earthquake https://t.co/sud6mxbr7w # breakingnews https://t.co/elyzqya8kd,1
trump is a sexual predator a fascist and a liar . helping brown people is n't on the agenda . @potus https://t.co/mme5mycuw5,0
"thornberry ( like mccain thu ) votes against cr for its damaging impact on the military . bill includes harvey relief , https://t.co/onexhuzw7k",1
verizon will not credit customers despite the service not being as good in the houston area.#khou11 # hurricaneharvey # abc13 # verizon,0
"@evpatriotband raised $ 1,000 for families rebuilding after hurricane harvey ! texans helping texans @eastviewhs https://t.co/yxyr3xgetc",0
the latest the * karabaic*daily ! https://t.co/otdr2eeble thanks to @amollica @jstephengagnon @jcorippo # edchat # harvey,0
hurricane irma : governor declares state of emergency in virginia https://t.co/0oyeerolcf,1
a tropical storm watch is in effect for the coast of long island and parts of connecticut and rhode island https://t.co/v1sofn2s3j,1
"island of puerto rico ' destroyed ' by hurricane maria , officials say https://t.co/6ccg9yfru2",0
you can keep up with realtime updates about # harvey from @reuters reporters throughout the # texascoast https://t.co/plcv0fxdh5,1
"color wars was a blast but let 's be real , nobody is worried about this hurricane . # hurricanehateweek",0
@lanaparrilla large group of puerto ricans in la collecting goods & donations . dm for details . we would love your s https://t.co/mfk6ylcnl9,1
"tonight on the news : saddened meme enthusiast creates the script to the next drama alert video , more at 4",1
@jennairusa harveyflood victims asked 4relief after 2nd flood . jennair doesnt want to help bosch40 % off flood victims https://t.co/5qachgkj1g,0
# gameday # texans attending nfl week 1 / jacksonville jaguars at houston texans # jaxvshou at nrg stadium https://t.co/u04vumuoc8,0
people getting killed by rain . we need socialism . https://t.co/coetjcbtj9,0
here 's a list / contact info of real non profit organizations for hurricane harvey https://t.co/zopiisylkt,0
"@ivankatrump if y' all were so concerned , with all the money you have , send 3a few planes to puerto rico and first th https://t.co/yoyv0pz05g",0
"corpus christi songwriters benefit delivers hurricane harvey relief to the rockport , https://t.co/yidyrilnyg",1
"a boogie wit da hoodie on cardi b , the bigger artist , hurricane harvey ( hnhh interview 2017 ) # randbhiphopvideos https://t.co/ziffzhcnwk",1
white house social media director busted for tweeting fake news https://t.co/enhrpjdbq2,0
# news uk 's hurricane irma response was not late fallon - bbc news : bbc news uk 's https://t.co/1htdjpuwrd,1
after # hurricanirma the whole # caribbean is going to need tourism to make an impact . check out # ochorios # jamaica https://t.co/zjohb3gtnv,1
"trump lobs praise , and paper towels , to puerto rico storm victims https://t.co/3q8h1iyayw https://t.co/dgvkrqx0jq",0
grasp this ! this is unacceptable ! americans are hurting and need supplies ! ! ! https://t.co/vcl6g7mp4d,1
rt @4billlewis : rt @its_kdg : the stupidity of ppl who wanted to ride out # hurricaneirma on their sail boats & then https://t.co/x6xywy63s9,1
when people would rather starve during a hurricane than buy chicken & waffles flavored @lays # harvey https://t.co/opfwcsww92,0
# news # summary : # harvey expected to # hit # texas with record # flooding -- live # updates https://t.co/lxpr4bx05m,1
@coalministry an unending wait of coal india management trainee exam results ! ! ! please provide relief to thousands of students .,1
here 's how houston will get rid of harvey 's extreme flood water https://t.co/ozg4w3nops https://t.co/mvnjlprjrg,1
fda 's special agents/@thejusticedept : fl resident sentenced to more than 4 years for illicit silicone injections https://t.co/qz1fawklrs,1
"antifa : sorry for mexico earthquake , texas and florida deserved hurricanes for trump support bag of a$$holes https://t.co/dqiaqtuq0o",0
local withernsea male to appear at hmc re 9 offences of criminal damage to vehicles and property . thanks to the public who contacted us .,1
images and reports are starting to come out of # puertorico and the damage is appalling . do we have to tag this # nfl https://t.co/9nysufalvt,0
"current weather in mission bend : few clouds , 85f 66 % humidity , wind 11 mph , pressure 1011 mb",1
florida 's irma - damaged turkey point nuclear plant knew it was vulnerable to floods https://t.co/1m3qbbfjam,0
someone said hurricane irma blew away the bottom part of wendy williams body,0
hurricane irma destroys naples florida footage 9/10/2017 https://t.co/fnvkira4h7,1
president trump says hell visit puerto rico next tuesday https://t.co/zp5topar93 # nbc4 https://t.co/uwiqg1x4rt,0
"looking at impact # harvey on flights at # schiphol # kl661 to houston cancelled , # ua021 still scheduled . # kl662 arrives with 132 min delay",0
"man makes bomb threat , police evacuate parts of frankfurt airport https://t.co/jn9mvzmmc7",0
"cubs catcher rene rivera prepares for "" long process "" in puerto rico 's recovery from hurricane maria https://t.co/dosrsogpfm",1
@nbcnews puerto rico is on the brink of a humanitarian crisis and this is what you 're putting out ! ? ! ? shame . https://t.co/dzy9jfmria,1
' we had to dig & crawl our way out ' : # floridakeys left damaged after # hurricaneirma https://t.co/f10k0adbas https://t.co/idyqx3lqjo rt,0
i hope everyone is staying safe still in this storm .,1
want to send help to puerto rico or mexico ? heres how . https://t.co/yt3zmot6zn @miamiherald,1
latest music news : joey bada$$ & pro era hosting brooklyn supplies drive for hurricane victims https://t.co/yua0zljhuf,0
@govabbott requests expedited process for @epawater srf funds administered by @twdb for # harvey # txwater projects https://t.co/jirei7twvw,1
"thanks for those hurricane harvey donations ! collections at neenah , manitowoc and menasha stores were incredible https://t.co/t20ealblne",1
"@2arab4you and the lawd said "" rise from . the flood waters my servants , riiiiiiiisseeeee """,0
"check out "" waze carpool goes live in states hit by hurricane harvey "" on the cnet app ! https://t.co/cdp1bl9yxm",0
"storm trooper ( 1998 ) 1hr , 26 m ; shortly after murdering her abusive husband , a woman takes an injured stranger i ... https://t.co/21vzxamul5",1
@joyannreid @bellafusa trump is still trying to figure out who the president of puerto rico is . sad this is happeni https://t.co/5dyeknskdw,0
it rained for like 6 days straight in houston for hurricane harvey . imagine 40 days and 40 nights of that .,0
headline : white house to needlessly wait 3 weeks to address humanitarian crisis impacting 3.5 million american citi https://t.co/wdpjek5zsr,0
@realdonaldtrump duh the mayor of puerto rico continues to plea for help while you moved on . not white wait in line https://t.co/5ewnkuhhrt,1
we have a real idiot as potus . why are we accepting this ? https://t.co/vyuj1w5uwo,0
i 'll never forget walking in to my local bronx deli & hearing some lady from texas lecturing everyone about respect https://t.co/rhthuhznxx,0
our friends at @orrstownbank are collecting donations for hurricane relief . details : https://t.co/83q7omst6q # orrstownhurricanerelief,1
the latest the arcpoint labs daily ! https://t.co/zzswxiaxu3 thanks to @erictopol # maria,0
"@dianaolick so many want to help in hurricane recovery , 1bln photos ruined too led to this https://t.co/zujxfizfsg https://t.co/yb5u5am3bk",1
[ https://t.co/gk5s98wxw6 ] scenes from hurricane maria 's destruction across https://t.co/xqyoe1whxm | https://t.co/epfgn58e4g,0
no one deserves a hurricane . climate change is real . https://t.co/nlhlckugt9,0
@srisamsthana @shankarapeetha @hareraama let 's open the window to our mind ! a ray of # ramarashmi wishes to enter ! r https://t.co/fgbd8ifnrh,1
president trump and first lady melania trump land in houston for their second trip to the harvey disaster zone https://t.co/n54easlrfc,0
where 's their help from the usa ? hey @realdonaldtrump these folks are citizens . help them . https://t.co/kvdb7ud3sk,1
former houston newspaper editor found dead after harvey https://t.co/ttskbqem3u,0
